X_AL	X_CU	X_FE	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_PHASES	GPU_PHASES	STATUS
0.900	0.100	0.000	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.700	0.300	0.000	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.500	0.500	0.000	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.300	0.700	0.000	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.100	0.900	0.000	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.900	0.000	0.100	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.700	0.000	0.300	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.500	0.000	0.500	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.300	0.000	0.700	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.100	0.000	0.900	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.000	0.900	0.100	1200	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.000	0.700	0.300	1200	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.000	0.500	0.500	1200	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.000	0.300	0.700	1200	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.000	0.100	0.900	1200	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.330	0.330	0.340	900	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.500	0.300	0.200	850	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.200	0.500	0.300	850	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.300	0.200	0.500	850	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.600	0.200	0.200	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
0.200	0.600	0.200	800	ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
