X(BI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_Phases	GPU_Phases	Phases_Match	STATUS
0.1	400	-12947.309946408479	-12947.309946760985	0.000000352506	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.2	400	-14770.863257465851	-14770.863257663508	0.000000197657	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.3	400	-16170.461727977552	-16170.461728091756	0.000000114203	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.4	400	-17363.411545822662	-17363.411545808885	0.000000013777	LIQUID(0.877),RHOMBOHEDRAL_A7(0.123)	LIQUID(0.877),RHOMBOHEDRAL_A7(0.123)	True	PASS
0.6	400	-18544.904145922301	-18544.904145922061	0.000000000240	LIQUID(0.694),RHOMBOHEDRAL_A7(0.306)	LIQUID(0.694),RHOMBOHEDRAL_A7(0.306)	True	PASS
0.7	400	-19726.396746035156	-19726.396746035232	0.000000000076	LIQUID(0.512),RHOMBOHEDRAL_A7(0.488)	LIQUID(0.512),RHOMBOHEDRAL_A7(0.488)	True	PASS
0.8	400	-20907.889346147858	-20907.889346148386	0.000000000528	LIQUID(0.330),RHOMBOHEDRAL_A7(0.670)	LIQUID(0.330),RHOMBOHEDRAL_A7(0.670)	True	PASS
0.9	400	-22089.381946336493	-22089.381946261572	0.000000074921	LIQUID(0.148),RHOMBOHEDRAL_A7(0.852)	LIQUID(0.148),RHOMBOHEDRAL_A7(0.852)	True	PASS
0.1	500	-20163.147582280704	-20163.147582855716	0.000000575012	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.2	500	-22386.133445148283	-22386.133445480813	0.000000332529	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.3	500	-24119.304673494651	-24119.304673688344	0.000000193693	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.4	500	-25553.554055272827	-25553.554055367647	0.000000094820	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.6	500	-26783.936496098235	-26783.936496117043	0.000000018808	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.7	500	-27840.294192122499	-27840.294192086119	0.000000036380	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.8	500	-28687.256630033338	-28687.256629971005	0.000000062333	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.9	500	-29322.502257472657	-29322.502257565498	0.000000092841	LIQUID(0.525),RHOMBOHEDRAL_A7(0.475)	LIQUID(0.525),RHOMBOHEDRAL_A7(0.475)	True	PASS
0.1	600	-27919.467832906790	-27919.467833769875	0.000000863085	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.2	600	-30554.085646232917	-30554.085646742438	0.000000509521	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.3	600	-32631.011863533240	-32631.011863831645	0.000000298405	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.4	600	-34357.684568473102	-34357.684568616220	0.000000143118	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.6	600	-35834.006068373506	-35834.006068395494	0.000000021988	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.7	600	-37089.093101660183	-37089.093101596758	0.000000063425	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.8	600	-38081.276837863246	-38081.276837763085	0.000000100161	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.9	600	-38661.352670168912	-38661.352670118715	0.000000050197	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.1	700	-36133.247076022337	-36133.247077243417	0.000001221080	LIQUID(1.000)	LIQUID(1.000)	True	FAIL
0.2	700	-39189.961286211088	-39189.961286942969	0.000000731881	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.3	700	-41619.429461910440	-41619.429462340580	0.000000430140	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.4	700	-43645.634982497708	-43645.634982700452	0.000000202745	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.6	700	-45373.327556999735	-45373.327557024008	0.000000024273	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.7	700	-46830.898466116269	-46830.898466017636	0.000000098633	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.8	700	-47970.380562219827	-47970.380562072445	0.000000147382	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.9	700	-48624.573027332575	-48624.573027263192	0.000000069384	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.1	800	-44743.111281025071	-44743.111282676997	0.000001651926	LIQUID(1.000)	LIQUID(1.000)	True	FAIL
0.2	800	-48228.770743075904	-48228.770744077134	0.000001001230	LIQUID(1.000)	LIQUID(1.000)	True	FAIL
0.3	800	-51016.193687157189	-51016.193687747058	0.000000589869	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.4	800	-53345.908788358283	-53345.908788632143	0.000000273860	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.6	800	-55327.513157411748	-55327.513157437781	0.000000026033	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.7	800	-56988.672617291420	-56988.672617146774	0.000000144646	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.8	800	-58275.121703212157	-58275.121703007077	0.000000205080	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.9	800	-59001.663386032145	-59001.663385941283	0.000000090862	LIQUID(1.000)	LIQUID(1.000)	True	PASS

# SUMMARY
# Total conditions tested: 40
# Passed: 37
# Failed: 3
# Pass rate: 92.5%
# CPU time: 1.0 seconds
# GPU time: 10.9 seconds
# Speedup: 0.1x
