X(BI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_Phases	GPU_Phases	Phases_Match	STATUS
0.1	400	-19498.435987328332	-19453.770277712996	44.665709615336	FCC_A1(0.891),LIQUID(0.109)	FCC_A1(0.939),LIQUID(0.061)	False	FAIL
0.2	400	-19615.534871062951	-19524.286718884268	91.248152178683	FCC_A1(0.767),LIQUID(0.233)	FCC_A1(0.864),LIQUID(0.136)	False	FAIL
0.3	400	-19732.633754818336	-19600.717536027674	131.916218790662	FCC_A1(0.642),LIQUID(0.358)	FCC_A1(0.783),LIQUID(0.217)	False	FAIL
0.4	400	-19849.732638576606	-19684.859967518423	164.872671058183	FCC_A1(0.518),LIQUID(0.482)	FCC_A1(0.693),LIQUID(0.307)	False	FAIL
0.6	400	-19966.831522326211	-19779.661957563832	187.169564762378	FCC_A1(0.394),LIQUID(0.606)	FCC_A1(0.592),LIQUID(0.408)	False	FAIL
0.7	400	-20083.930406072388	-19890.629139272074	193.301266800314	FCC_A1(0.269),LIQUID(0.731)	FCC_A1(0.475),LIQUID(0.525)	False	FAIL
0.8	400	-20201.029289785904	-20030.751842411184	170.277447374719	FCC_A1(0.145),LIQUID(0.855)	FCC_A1(0.326),LIQUID(0.674)	False	FAIL
0.9	400	-20318.128173577847	-20258.616284919764	59.511888658082	FCC_A1(0.021),LIQUID(0.979)	FCC_A1(0.084),LIQUID(0.916)	False	FAIL
0.1	500	-25647.626509017769	-25450.723177784679	196.903331233090	FCC_A1(0.882),LIQUID(0.118)	FCC_A1(0.933),LIQUID(0.067)	False	FAIL
0.2	500	-26162.993346270756	-25762.790398968995	400.202947301761	FCC_A1(0.746),LIQUID(0.254)	FCC_A1(0.851),LIQUID(0.149)	False	FAIL
0.3	500	-26678.360183132179	-26104.347508095620	574.012675036560	FCC_A1(0.611),LIQUID(0.389)	FCC_A1(0.762),LIQUID(0.238)	False	FAIL
0.4	500	-27193.727020152510	-26485.773622218923	707.953397933587	FCC_A1(0.475),LIQUID(0.525)	FCC_A1(0.661),LIQUID(0.339)	False	FAIL
0.6	500	-27709.093857315114	-26925.496571348816	783.597285966298	FCC_A1(0.340),LIQUID(0.660)	FCC_A1(0.546),LIQUID(0.454)	False	FAIL
0.7	500	-28224.460694195408	-27462.980186335906	761.480507859502	FCC_A1(0.205),LIQUID(0.795)	FCC_A1(0.405),LIQUID(0.595)	False	FAIL
0.8	500	-28739.827531174396	-28226.420898383789	513.406632790608	FCC_A1(0.069),LIQUID(0.931)	FCC_A1(0.204),LIQUID(0.796)	False	FAIL
0.9	500	-29193.615414181015	-29193.615414146996	0.000000034019	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.1	600	-32363.012259552052	-31997.504000027071	365.508259524981	FCC_A1(0.865),LIQUID(0.135)	FCC_A1(0.924),LIQUID(0.076)	False	FAIL
0.2	600	-33320.026621947123	-32584.025032784652	736.001589162472	FCC_A1(0.712),LIQUID(0.288)	FCC_A1(0.830),LIQUID(0.170)	False	FAIL
0.3	600	-34277.040984321255	-33237.357845832346	1039.683138488908	FCC_A1(0.558),LIQUID(0.442)	FCC_A1(0.725),LIQUID(0.275)	False	FAIL
0.4	600	-35234.055346703142	-33987.397204087909	1246.658142615233	FCC_A1(0.404),LIQUID(0.596)	FCC_A1(0.604),LIQUID(0.396)	False	FAIL
0.6	600	-36191.069709034724	-34896.537556833027	1294.532152201697	FCC_A1(0.250),LIQUID(0.750)	FCC_A1(0.458),LIQUID(0.542)	False	FAIL
0.7	600	-37148.084071432881	-36153.983892719938	994.100178712943	FCC_A1(0.097),LIQUID(0.903)	FCC_A1(0.256),LIQUID(0.744)	False	FAIL
0.8	600	-38081.276837863246	-38081.276837763100	0.000000100146	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.9	600	-38661.352670168912	-38661.352670118766	0.000000050146	LIQUID(1.000)	LIQUID(1.000)	True	PASS
0.1	700	-39577.213395770843	-39023.271060137857	553.942335632986	FCC_A1(0.838),LIQUID(0.162)	FCC_A1(0.908),LIQUID(0.092)	False	FAIL
0.2	700	-41034.923124138557	-39939.935526678491	1094.987597460065	FCC_A1(0.652),LIQUID(0.348)	FCC_A1(0.791),LIQUID(0.209)	False	FAIL
0.3	700	-42492.632852501258	-40998.043928972598	1494.588923528660	FCC_A1(0.466),LIQUID(0.534)	FCC_A1(0.656),LIQUID(0.344)	False	FAIL
0.4	700	-43950.342580883080	-42294.741406754561	1655.601174128518	FCC_A1(0.280),LIQUID(0.720)	FCC_A1(0.491),LIQUID(0.509)	False	FAIL
