X(CU)	X(FE)	X(AL)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_AL	CPU_MU_CU	CPU_MU_FE	GPU_MU_AL	GPU_MU_CU	GPU_MU_FE	MU_AL_DIFF	MU_CU_DIFF	MU_FE_DIFF	STATUS
0.1	0.1	0.8	600	-29212.380102814001	-16689.080984538541	12523.299118275459	-21018.871520001925	-56840.089841950467	-67132.739023058268	-796916990642477824.000000000000	-796917006650590592.000000000000	-67049.085326328946	796916990642456832.000000000000	796917006650533760.000000000000	83.653696729321	FAIL
0.1	0.2	0.7	600	-33333.370604939788	-26080.961906649260	7252.408698290528	-23061.669035524628	-53568.556519695805	-59166.733140430144	-31528.541251736984	271916.852125310281	-67049.085326328946	8466.872216212356	325485.408645006071	7882.352185898802	FAIL
0.1	0.3	0.6	600	-36370.072620494539	-27963.238311664234	8406.834308830305	-26874.395095897460	-49063.883095563855	-51130.157511920799	-35342.707121849082	338668.718003597984	-67049.085326328946	8468.312025951622	387732.601099161839	15918.927814408147	FAIL
0.1	0.4	0.5	600	-38104.576912949720	-21876.888990048628	16227.687922901092	-33025.280377721116	-43758.102438387497	-43040.316200632034	-22547.302764836269	-6917.753057840595	-67049.085326328946	10477.977612884846	36840.349380546904	24008.769125696912	FAIL
0.2	0.1	0.7	600	-32685.848532188713	-16689.080984538541	15996.767547650172	-21945.029937528223	-55234.671531870030	-62773.932695277428	-796916991118772992.000000000000	-796917007129239296.000000000000	-62632.902771387147	796916991118751104.000000000000	796917007129184000.000000000000	141.029923890281	FAIL
0.2	0.2	0.6	600	-36122.082175677118	-16689.080984538541	19433.001191138577	-25639.961528059044	-50376.896064441811	-53313.630230364201	-796916992081259136.000000000000	-796917008086191232.000000000000	-62632.902771387147	796916992081233536.000000000000	796917008086140800.000000000000	9319.272541022947	FAIL
0.2	0.3	0.5	600	-38155.651581229315	-16689.080984538537	21466.570596690777	-31788.694514495892	-44696.808437414322	-44406.475457066350	-796916993030826112.000000000000	-796917009043697024.000000000000	-62632.902771387147	796916993030794368.000000000000	796917009043652352.000000000000	18226.427314320797	FAIL
0.2	0.4	0.4	600	-38563.814340394463	-16689.080984538537	21874.733355855926	-40961.505017189760	-38746.563574679880	-36074.749046605342	-796916993989836544.000000000000	-796917010000797440.000000000000	-62632.902771387147	796916993989795584.000000000000	796917010000758656.000000000000	26558.153724781805	FAIL
0.3	0.1	0.6	600	-35770.438616239211	-32819.526689901082	2950.911926338129	-24239.438199509954	-52020.258922304944	-56206.980199778947	-22117.703202776938	-55106.996319904909	-55855.130567695109	2121.734996733016	3086.737397599965	351.849632083839	FAIL
0.3	0.2	0.5	600	-38159.406121398817	-32758.178354123458	5401.227767275359	-30440.781561100208	-45784.026667716687	-46019.036703669568	-22080.369723376385	-55183.520166487513	-55855.130567695109	8360.411837723823	9399.493498770826	9836.093864025541	FAIL
