X(BI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_AU	CPU_MU_BI	GPU_MU_AU	GPU_MU_BI	MU_AU_DIFF	MU_BI_DIFF	STATUS
0.1	400	-19498.435987320343	-19498.435987325262	0.000000004919	-19395.974464043571	-20420.589696860501	-19395.974464043546	-20420.589696860461	0.000000000025	0.000000000040	PASS
0.2	400	-19600.897510602612	-19600.897510606952	0.000000004340	-19395.974464043564	-20420.589696860487	-19395.974464043542	-20420.589696860447	0.000000000022	0.000000000040	PASS
0.3	400	-19703.359033895573	-19703.359033888642	0.000000006930	-19395.974464043564	-20420.589696860497	-19395.974464043549	-20420.589696860476	0.000000000015	0.000000000022	PASS
0.4	400	-19805.820557170329	-19805.820557170337	0.000000000007	-19395.974464043582	-20420.589696860501	-19395.974464043553	-20420.589696860450	0.000000000029	0.000000000051	PASS
0.5	400	-19908.282080451703	-19908.282080452023	0.000000000320	-19395.974464043582	-20420.589696860494	-19395.974464043546	-20420.589696860447	0.000000000036	0.000000000047	PASS
0.6	400	-20010.743603714553	-20010.743603733717	0.000000019165	-19395.974464043571	-20420.589696860487	-19395.974464043538	-20420.589696860461	0.000000000033	0.000000000025	PASS
0.7	400	-20113.205127001027	-20113.205127015408	0.000000014381	-19395.974464043578	-20420.589696860497	-19395.974464043549	-20420.589696860443	0.000000000029	0.000000000055	PASS
0.8	400	-20215.666650325056	-20215.666650297095	0.000000027962	-19395.974464043567	-20420.589696860497	-19395.974464043553	-20420.589696860461	0.000000000015	0.000000000036	PASS
0.1	500	-25647.626509131645	-25647.626509093865	0.000000037780	-25196.680526702556	-29706.140350615791	-25196.680526702523	-29706.140350615751	0.000000000033	0.000000000040	PASS
0.2	500	-26098.572491487263	-26098.572491485203	0.000000002059	-25196.680526702563	-29706.140350615777	-25196.680526702516	-29706.140350615744	0.000000000047	0.000000000033	PASS
0.3	500	-26549.518473843975	-26549.518473876524	0.000000032549	-25196.680526702577	-29706.140350615777	-25196.680526702508	-29706.140350615748	0.000000000069	0.000000000029	PASS
0.4	500	-27000.464456275149	-27000.464456267848	0.000000007301	-25196.680526702552	-29706.140350615799	-25196.680526702527	-29706.140350615759	0.000000000025	0.000000000040	PASS
0.5	500	-27451.410438709856	-27451.410438659172	0.000000050684	-25196.680526702556	-29706.140350615795	-25196.680526702530	-29706.140350615769	0.000000000025	0.000000000025	PASS
0.6	500	-27902.356420975058	-27902.356421050503	0.000000075444	-25196.680526702563	-29706.140350615795	-25196.680526702523	-29706.140350615769	0.000000000040	0.000000000025	PASS
0.7	500	-28353.302403466467	-28353.302403441852	0.000000024615	-25196.680526702541	-29706.140350615777	-25196.680526702501	-29706.140350615733	0.000000000040	0.000000000044	PASS
0.8	500	-28804.248385905721	-28804.248385833067	0.000000072654	-25196.680526702541	-29706.140350615806	-25196.680526702516	-29706.140350615762	0.000000000025	0.000000000044	PASS
0.1	600	-32363.012259531177	-32363.012259542047	0.000000010870	-31525.624692463462	-39899.500363249681	-31525.624692463411	-39899.500363249535	0.000000000051	0.000000000146	PASS
0.2	600	-33200.399826575318	-33200.399826620676	0.000000045358	-31525.624692463472	-39899.500363249594	-31525.624692463414	-39899.500363249586	0.000000000058	0.000000000007	PASS
0.3	600	-34037.787393699378	-34037.787393699306	0.000000000073	-31525.624692463472	-39899.500363249637	-31525.624692463414	-39899.500363249579	0.000000000058	0.000000000058	PASS
0.4	600	-34875.174960856093	-34875.174960777935	0.000000078158	-31525.624692463451	-39899.500363249630	-31525.624692463411	-39899.500363249572	0.000000000040	0.000000000058	PASS
0.5	600	-35712.562527866830	-35712.562527856455	0.000000010376	-31525.624692463447	-39899.500363249637	-31525.624692463414	-39899.500363249615	0.000000000033	0.000000000022	PASS
0.6	600	-36549.950094926637	-36549.950094935091	0.000000008455	-31525.624692463411	-39899.500363249608	-31525.624692463422	-39899.500363249586	0.000000000011	0.000000000022	PASS
0.7	600	-37387.337662012345	-37387.337662013524	0.000000001179	-31525.624692463472	-39899.500363249608	-31525.624692463447	-39899.500363249594	0.000000000025	0.000000000015	PASS
0.8	600	-38181.205536023852	-38181.205535923778	0.000000100074	-32765.044677409940	-39535.245750677321	-32765.044677028738	-39535.245750772636	0.000000381202	0.000000095315	PASS
0.1	700	-39577.213395770050	-39577.213395768951	0.000000001099	-38301.717383444906	-51056.677506687593	-38301.717383444869	-51056.677506687491	0.000000000036	0.000000000102	PASS
0.2	700	-40852.709408094910	-40852.709408093426	0.000000001484	-38301.717383444869	-51056.677506687593	-38301.717383444826	-51056.677506687491	0.000000000044	0.000000000102	PASS
0.3	700	-42128.205420418555	-42128.205420417726	0.000000000829	-38301.717383444869	-51056.677506687607	-38301.717383444869	-51056.677506687520	0.000000000000	0.000000000087	PASS
0.4	700	-43403.701432743605	-43403.701432742040	0.000000001564	-38301.717383444862	-51056.677506687643	-38301.717383444855	-51056.677506687476	0.000000000007	0.000000000167	PASS
0.5	700	-44679.197445062702	-44679.197445066391	0.000000003689	-38301.717383444913	-51056.677506687593	-38301.717383444840	-51056.677506687513	0.000000000073	0.000000000080	PASS
0.6	700	-45954.693457381502	-45954.693457389789	0.000000008287	-38301.717383444891	-51056.677506687607	-38301.717383444833	-51056.677506687498	0.000000000058	0.000000000109	PASS
0.7	700	-47149.433174656449	-47149.433174537509	0.000000118940	-39594.884574991600	-50387.096860227146	-39594.884574793614	-50387.096860311867	0.000000197986	0.000000084721	PASS
0.8	700	-48084.180912350028	-48084.180912203126	0.000000146902	-41923.001707860894	-49624.475713472297	-41923.001707282790	-49624.475713616783	0.000000578104	0.000000144486	PASS
0.1	800	-47250.006136387470	-47250.006136391850	0.000000004380	-45467.050157169433	-63296.609949407277	-45467.050157169397	-63296.609949407197	0.000000000036	0.000000000080	PASS
0.2	800	-49032.962115620037	-49032.962115617025	0.000000003012	-45467.050157169360	-63296.609949407379	-45467.050157169389	-63296.609949407211	0.000000000029	0.000000000167	PASS
0.3	800	-50815.918094839566	-50815.918094841218	0.000000001652	-45467.050157169317	-63296.609949407350	-45467.050157169360	-63296.609949407219	0.000000000044	0.000000000131	PASS
0.4	800	-52598.874074078602	-52598.874074063497	0.000000015105	-45467.050157169426	-63296.609949407364	-45467.050157169382	-63296.609949407204	0.000000000044	0.000000000160	PASS
0.5	800	-54376.721777208222	-54376.721777349660	0.000000141437	-45712.245911578822	-63041.197642837629	-45712.245911678270	-63041.197642738043	0.000000099448	0.000000099586	PASS
0.6	800	-55988.948244195490	-55988.948244148087	0.000000047403	-47043.008660553816	-61952.907966623323	-47043.008660506581	-61952.907966654733	0.000000047236	0.000000031410	PASS
0.7	800	-57349.667515176363	-57349.667515007000	0.000000169362	-48798.919909137148	-61014.273632050325	-48798.919908844618	-61014.273632175638	0.000000292530	0.000000125314	PASS
0.8	800	-58402.651312136302	-58402.651311933085	0.000000203217	-51505.056049302140	-60127.050127844792	-51505.056048479208	-60127.050128050527	0.000000822933	0.000000205735	PASS

# SUMMARY
# Total conditions tested: 40
# Passed: 40
# Failed: 0
# Pass rate: 100.0%
# CPU time: 0.6 seconds
# GPU time: 8.3 seconds
# Speedup: 0.1x
# Total time: 8.8 seconds
