X(TI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_NB	CPU_MU_TI	GPU_MU_NB	GPU_MU_TI	MU_NB_DIFF	MU_TI_DIFF	STATUS
0.1	500	-19166.272732675185	-19166.272732731006	0.000000055821	-19764.293346351504	-13784.087210142019	-19764.293346331342	-13784.087210128671	0.000000020162	0.000000013348	PASS
0.1	600	-24602.651695100260	-24602.651605157575	0.000089942685	-25134.195682177469	-19818.755811405430	-25134.195731795626	-19818.755364570909	0.000049618156	0.000446834521	PASS
0.1	700	-30513.171371450266	-30513.171291501378	0.000079948888	-30847.254632225970	-27506.422024468840	-30847.254724511949	-27506.421193558101	0.000092285980	0.000830910740	PASS
0.1	800	-36808.888762382659	-36808.888719846072	0.000042536587	-36944.845099365957	-35585.281729532828	-36944.845248927020	-35585.280383076504	0.000149561063	0.001346456324	PASS
0.1	900	-43446.005516023055	-43446.005540477541	0.000024454486	-43383.221387517362	-44011.062672574124	-43383.221609697306	-44011.060672475476	0.000222179944	0.002000098648	PASS
0.1	1000	-50390.689593127856	-50390.689716036191	0.000122908335	-50128.571772901043	-52749.749975169318	-50128.572083695406	-52749.747177463942	0.000310794363	0.002797705376	PASS
0.2	500	-18568.252119107063	-18568.252119110082	0.000000003020	-19764.293346351526	-13784.087210142026	-19764.293346331335	-13784.087210128650	0.000000020191	0.000000013377	PASS
0.2	600	-24023.847996686985	-24023.847996677498	0.000000009488	-25191.946820622070	-19351.452700892864	-25191.946820595942	-19351.452700874430	0.000000026128	0.000000018434	PASS
0.2	700	-30051.108946067769	-30051.108851392310	0.000094675459	-31141.410567201467	-25689.902461532882	-31141.410602889788	-25689.902318597429	0.000035688321	0.000142935452	PASS
0.2	800	-36508.034380134413	-36508.034284217167	0.000095917247	-37336.931739337953	-33192.444943320304	-37336.931810954244	-33192.444656633721	0.000071616290	0.000286686583	PASS
0.2	900	-43306.972718605684	-43306.972636006089	0.000082599596	-43873.238732485886	-41041.908663085036	-43873.238853085706	-41041.908180423183	0.000120599820	0.000482661853	PASS
0.2	1000	-50414.071606773578	-50414.071553191032	0.000053582546	-50716.519822865972	-49204.278742403629	-50716.520006168292	-49204.278008888919	0.000183302320	0.000733514709	PASS
0.3	500	-17970.231505494525	-17970.231505489141	0.000000005384	-19764.293346351500	-13784.087210142021	-19764.293346331320	-13784.087210128648	0.000000020180	0.000000013373	PASS
0.3	600	-23439.798584700689	-23439.798584704564	0.000000003874	-25191.946820622063	-19351.452700892860	-25191.946820595931	-19351.452700874455	0.000000026132	0.000000018405	PASS
0.3	700	-29485.019807788867	-29485.019807794491	0.000000005624	-31192.850577251666	-25500.081345711184	-31192.850577217934	-25500.081345688144	0.000000033731	0.000000023039	PASS
0.3	800	-36036.679374431878	-36036.679297511015	0.000076920864	-37572.864150519206	-32452.248230228004	-37572.864175635143	-32452.248171466937	0.000025115936	0.000058761067	PASS
0.3	900	-42943.513469802238	-42943.513387626503	0.000082175735	-44220.195820064837	-39964.587985856240	-44220.195875290832	-39964.587856807630	0.000055225995	0.000129048611	PASS
0.3	1000	-50159.101341101319	-50159.101260668780	0.000080432539	-51174.501586842620	-47789.834101038316	-51174.501683036229	-47789.833876367018	0.000096193609	0.000224671297	PASS
0.4	500	-17372.210891867620	-17372.210891868192	0.000000000571	-19764.293346351507	-13784.087210142030	-19764.293346331320	-13784.087210128650	0.000000020187	0.000000013380	PASS
0.4	600	-22855.749172733558	-22855.749172731656	0.000000001903	-25191.946820622070	-19351.452700892867	-25191.946820595949	-19351.452700874452	0.000000026121	0.000000018415	PASS
0.4	700	-28915.742884636988	-28915.742884640480	0.000000003492	-31192.850577251662	-25500.081345711187	-31192.850577218072	-25500.081345688086	0.000000033589	0.000000023101	PASS
